1. Akmenės rajono	0	Vitalijus MITROFANOVAS	Lietuvos socialdemokratų partija	4103	4740	637	0.1552522544479649		Apolinaras NICIUS	Lietuvos Respublikos liberalų sąjūdis	3053	4092	1039	0.2532293443821594
3. Alytaus rajono	0	Algirdas VRUBLIAUSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	5837	6614	777	0.13311632688024672		Aurimas TRUNCĖ	Darbo partija	4465	5832	1367	0.234195648449546
4. Anykščių rajono	0	Kęstutis TUBIS	Lietuvos Respublikos liberalų sąjūdis	2965	5924	2959	0.9979763912310287		Sigutis OBELEVIČIUS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	2858	4987	2129	0.7180438448566611
6. Biržų rajono	0	Valdemaras VALKIŪNAS	Respublikonų partija	4313	6221	1908	0.44238349176907027		Irutė VARZIENĖ	Tėvynės sąjunga - Lietuvos krikščionys demokratai	3139	5503	2364	0.5481103640157663
8. Elektrėnų	0	Kęstutis VAITUKAITIS	Lietuvos Respublikos liberalų sąjūdis	4047	4219	172	0.04250061774153694		Arvydas VYŠNIAUSKAS	Lietuvos socialdemokratų partija	2033	2204	171	0.04225352112676056
11. Joniškio rajono	1	Gediminas ČEPULIS	Lietuvos Respublikos liberalų sąjūdis	3328	4431	1103	0.33143028846153844		Liudas JONAITIS	Lietuvos socialdemokratų partija	3540	4051	511	0.15354567307692307
12. Jurbarko rajono	1	Skirmantas MOCKEVIČIUS	Išsikėlė pats	3067	5340	2273	0.7411150961851972		Ričardas JUŠKA	Lietuvos Respublikos liberalų sąjūdis	3301	4470	1169	0.38115422236713403
13. Kaišiadorių rajono	1	Vytenis TOMKUS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	2491	4962	2471	0.9919710959454034		Romualdas URMILEVIČIUS	Lietuvos Respublikos liberalų sąjūdis	4375	4675	300	0.12043356081894821
14. Kalvarijos	1	Vincas PLIKAITIS	Partija Tvarka ir teisingumas	1187	2115	928	0.7818028643639428		Valdas ALEKNAVIČIUS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	1477	2000	523	0.44060657118786856
15. Kauno miesto	0	Visvaldas MATIJOŠAITIS	Visuomeninis rinkimų komitetas „Vieningas Kaunas“	44489	72821	28332	0.6368315763447144		Andrius KUPČINSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	29679	41891	12212	0.2744948189440086
17. Kazlų Rūdos	1	Vytautas KANEVIČIUS	Lietuvos laisvės sąjunga (liberalai)	1310	2260	950	0.7251908396946565		Giedrius BIELSKUS	Lietuvos socialdemokratų partija	1404	1725	321	0.2450381679389313
18. Kelmės rajono	0	Vaclovas ANDRULIS	Lietuvos socialdemokratų partija	4606	5439	833	0.18085106382978725		Juozas RIMKUS	Lietuvos valstiečių ir žaliųjų sąjunga	3509	4865	1356	0.294398610508033
19. Kėdainių rajono	1	Saulius GRINKEVIČIUS	Lietuvos laisvės sąjunga (liberalai)	5783	10014	4231	0.7316271831229466		Nijolė NAUJOKIENĖ	Darbo partija	10274	8492	-1782	-0.3081445616462044
20. Klaipėdos miesto	0	Vytautas GRUBLIAUSKAS	Lietuvos Respublikos liberalų sąjūdis	20943	26289	5346	0.25526428878384183		Agnė BILOTAITĖ	Tėvynės sąjunga - Lietuvos krikščionys demokratai	5860	8175	2315	0.11053812729790384
21. Klaipėdos rajono	0	Vaclovas DAČKAUSKAS	Lietuvos socialdemokratų partija	3841	5733	1892	0.49258005727675086		Audronė BALNIONIENĖ	Lietuvos Respublikos liberalų sąjūdis	2980	5620	2640	0.6873210101536058
22. Kretingos rajono	0	Juozas MAŽEIKA	Tėvynės sąjunga - Lietuvos krikščionys demokratai	4782	6131	1349	0.2820995399414471		Virginijus DOMARKAS	Lietuvos socialdemokratų partija	3393	4184	791	0.16541196152237558
23. Kupiškio rajono	0	Dainius BARDAUSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	3562	5436	1874	0.5261089275687816		Jonas JARUTIS	Lietuvos valstiečių ir žaliųjų sąjunga	1651	2073	422	0.1184727681078046
26. Mažeikių rajono	0	Antanas TENYS	Lietuvos socialdemokratų partija	9265	10254	989	0.10674581759309228		Lina RIMKIENĖ	Tėvynės sąjunga - Lietuvos krikščionys demokratai	2615	3020	405	0.04371289800323799
30. Pakruojo rajono	1	Saulius GEGIECKAS	Lietuvos laisvės sąjunga (liberalai)	2047	4299	2252	1.1001465559355155		Asta JASIŪNIENĖ	Lietuvos socialdemokratų partija	2559	3058	499	0.243771372740596
32. Panevėžio miesto	0	Rytis Mykolas RAČKAUSKAS	Visuomeninis rinkimų komitetas „Povilas Urbšys už sąrašą KARTU“	7059	17290	10231	1.449355432780847		Maurikijus GRĖBLIŪNAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	4997	7588	2591	0.3670491571044057
35. Plungės rajono	0	Audrius KLIŠONIS	Lietuvos Respublikos liberalų sąjūdis	5403	6266	863	0.1597260781047566		Asta BEIERLE EIGIRDIENĖ	Tėvynės sąjunga - Lietuvos krikščionys demokratai	2766	4537	1771	0.3277808624838053
36. Prienų rajono	0	Alvydas VAICEKAUSKAS	Lietuvos socialdemokratų partija	2341	5223	2882	1.2310978214438275		Loreta JAKINEVIČIENĖ	Partija Tvarka ir teisingumas	1966	4567	2601	1.1110636480136693
37. Radviliškio rajono	0	Antanas ČEPONONIS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	6539	6875	336	0.05138400367028598		Kazimieras AUGULIS	Lietuvos socialdemokratų partija	3412	4920	1508	0.23061630218687873
38. Raseinių rajono	0	Algirdas GRICIUS	Darbo partija	5080	7909	2829	0.5568897637795276		Liudas KAVALIAUSKAS	Lietuvos socialdemokratų partija	3967	6323	2356	0.4637795275590551
40. Rokiškio rajono	0	Antanas VAGONIS	Lietuvos socialdemokratų partija	3233	5528	2295	0.7098669965975873		Almantas BLAŽYS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	2669	5144	2475	0.7655428394679864
41. Skuodo rajono	1	Petras PUŠINSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	1392	3276	1884	1.353448275862069		Audronė PITRĖNIENĖ	Darbo partija, Visuomeninis rinkimų komitetas „Permainų laikas“	2523	2825	302	0.21695402298850575
42. Šakių rajono	0	Juozas BERTAŠIUS	Lietuvos valstiečių ir žaliųjų sąjunga	5556	5790	234	0.042116630669546434		Bernardinas Petras VAINIUS	Lietuvos socialdemokratų partija	2951	4312	1361	0.2449604031677466
44. Šiaulių miesto	0	Artūras VISOCKAS	Visuomeninis rinkimų komitetas „Artūro Visocko nepartinis sąrašas“	6032	18342	12310	2.0407824933687		Valerijus SIMULIK	Visuomeninis rinkimų komitetas „Valerijaus Simulik judėjimas „Už Šiaulius“	5589	8460	2871	0.47596153846153844
45. Šiaulių rajono	0	Antanas BEZARAS	Lietuvos valstiečių ir žaliųjų sąjunga	5034	6212	1178	0.23400874056416368		Algimantas GAUBAS	Lietuvos socialdemokratų partija	2929	3494	565	0.1122367898291617
46. Šilalės rajono	0	Jonas GUDAUSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	4080	5633	1553	0.38063725490196076		Vytautas JUCIUS	Partija Tvarka ir teisingumas	2858	5522	2664	0.6529411764705882
47. Šilutės rajono	0	Vytautas LAURINAITIS	Partija Tvarka ir teisingumas	4405	7093	2688	0.6102156640181612		Arvydas JAKAS	Lietuvos laisvės sąjunga (liberalai)	2866	5728	2862	0.6497162315550511
48. Širvintų rajono	0	Živilė PINSKUVIENĖ	Darbo partija	3861	4368	507	0.13131313131313133		Andrius JOZONIS	Lietuvos socialdemokratų partija	1152	3434	2282	0.591038591038591
49. Švenčionių rajono	1	Rimantas KLIPČIUS	Lietuvos laisvės sąjunga (liberalai)	2557	6333	3776	1.476730543605788		Vytautas VIGELIS	Darbo partija	4138	5686	1548	0.6053969495502542
50. Tauragės rajono	1	Sigitas MIČIULIS	Lietuvos Respublikos liberalų sąjūdis	7336	10557	3221	0.43906761177753545		Pranas PETROŠIUS	Lietuvos socialdemokratų partija	7558	8151	593	0.08083424209378408
51. Telšių rajono	0	Vytautas KLEIVA	Lietuvos socialdemokratų partija	6116	7345	1229	0.20094833224329628		Almantas LUKAVIČIUS	Partija Tvarka ir teisingumas	2488	4094	1606	0.26258992805755393
53. Ukmergės rajono	0	Rolandas JANICKAS	Darbo partija	3904	7317	3413	0.8742315573770492		Juozas VARŽGALYS	Lietuvos valstiečių ir žaliųjų sąjunga	3102	4657	1555	0.3983094262295082
55. Varėnos rajono	0	Algis KAŠĖTA	Lietuvos Respublikos liberalų sąjūdis	6272	7270	998	0.1591198979591837		Vidas MIKALAUSKAS	Lietuvos socialdemokratų partija	4343	4685	342	0.0545280612244898
57. Vilniaus miesto	0	Remigijus ŠIMAŠIUS	Lietuvos Respublikos liberalų sąjūdis	75181	116178	40997	0.5453106502972825		Artūras ZUOKAS	Lietuvos laisvės sąjunga (liberalai)	39970	69084	29114	0.38725209826950957
