apyg,candidate,candidateUrl,totalBefore,totalAfter,posAfter,posBefore
Naujamiesčio,Irena DEGUTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67288/Kandidato67288Anketa.html,12388,10805,1,1
Naujamiesčio,Neringa VENCKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66658/Kandidato66658Anketa.html,5319,4582,2,2
Naujamiesčio,Faustas LATĖNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66885/Kandidato66885Anketa.html,2801,2347,3,3
Naujamiesčio,Jolanta GAUDUTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67900/Kandidato67900Anketa.html,2707,1890,5,4
Naujamiesčio,Arminas LYDEKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67091/Kandidato67091Anketa.html,2346,2128,4,5
Naujamiesčio,Irina ROZOVA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68430/Kandidato68430Anketa.html,2141,1297,6,6
Naujamiesčio,Vytautas BOGUŠIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69728/Kandidato69728Anketa.html,1160,966,7,7
Naujamiesčio,Liucija BORUSEVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66512/Kandidato66512Anketa.html,950,734,9,8
Naujamiesčio,Miroslavas MONKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68127/Kandidato68127Anketa.html,925,770,8,9
Naujamiesčio,Vitalijus BALKUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68752/Kandidato68752Anketa.html,800,682,10,10
Naujamiesčio,Juozas MURAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67479/Kandidato67479Anketa.html,445,420,11,11
Naujamiesčio,Dainius Petras PAUKŠTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68360/Kandidato68360Anketa.html,367,305,12,12
Naujamiesčio,Robertas KASPEROVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67765/Kandidato67765Anketa.html,117,88,13,13
Naujamiesčio,Janas JUREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67681/Kandidato67681Anketa.html,89,77,14,14
Naujamiesčio,Gediminas PELĖDŽIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70028/Kandidato70028Anketa.html,89,69,15,15
Senamiesčio,Arvydas ANUŠAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67292/Kandidato67292Anketa.html,5249,4313,1,1
Senamiesčio,Petras AUŠTREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67072/Kandidato67072Anketa.html,3706,3007,2,2
Senamiesčio,Agnė ZUOKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68128/Kandidato68128Anketa.html,2946,2399,3,3
Senamiesčio,Marija Aušrinė PAVILIONIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66825/Kandidato66825Anketa.html,2371,1918,6,4
