apygOld,apygNew,candidate,candidateUrl,votes
Naujamiesčio,Senamiesčio,Irena DEGUTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67288/Kandidato67288Anketa.html,493
Naujamiesčio,Senamiesčio,Neringa VENCKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66658/Kandidato66658Anketa.html,187
Naujamiesčio,Senamiesčio,Faustas LATĖNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66885/Kandidato66885Anketa.html,94
Naujamiesčio,Senamiesčio,Jolanta GAUDUTIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67900/Kandidato67900Anketa.html,113
Naujamiesčio,Senamiesčio,Arminas LYDEKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67091/Kandidato67091Anketa.html,56
Naujamiesčio,Senamiesčio,Irina ROZOVA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68430/Kandidato68430Anketa.html,129
Naujamiesčio,Senamiesčio,Vytautas BOGUŠIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69728/Kandidato69728Anketa.html,45
Naujamiesčio,Senamiesčio,Liucija BORUSEVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66512/Kandidato66512Anketa.html,37
Naujamiesčio,Senamiesčio,Miroslavas MONKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68127/Kandidato68127Anketa.html,35
Naujamiesčio,Senamiesčio,Vitalijus BALKUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68752/Kandidato68752Anketa.html,29
Naujamiesčio,Senamiesčio,Juozas MURAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67479/Kandidato67479Anketa.html,8
Naujamiesčio,Senamiesčio,Dainius Petras PAUKŠTĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68360/Kandidato68360Anketa.html,21
Naujamiesčio,Senamiesčio,Robertas KASPEROVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67765/Kandidato67765Anketa.html,3
Naujamiesčio,Senamiesčio,Janas JUREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67681/Kandidato67681Anketa.html,1
Naujamiesčio,Senamiesčio,Gediminas PELĖDŽIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70028/Kandidato70028Anketa.html,1
Žirmūnų,Senamiesčio,Vytenis Povilas ANDRIUKAITIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66818/Kandidato66818Anketa.html,610
Žirmūnų,Senamiesčio,Vilija ALEKNAITĖ ABRAMIKIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67300/Kandidato67300Anketa.html,514
Žirmūnų,Senamiesčio,Šarūnas GUSTAINIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67089/Kandidato67089Anketa.html,306
Žirmūnų,Senamiesčio,Renata CYTACKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68473/Kandidato68473Anketa.html,202
Žirmūnų,Senamiesčio,Gediminas DALINKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67898/Kandidato67898Anketa.html,183
Žirmūnų,Senamiesčio,Algis ČAPLIKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69724/Kandidato69724Anketa.html,167
Žirmūnų,Senamiesčio,Jonas JUODKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68145/Kandidato68145Anketa.html,135
Žirmūnų,Senamiesčio,Julius GIRDVAINIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas70047/Kandidato70047Anketa.html,165
Žirmūnų,Senamiesčio,Ramojus GIRINSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66523/Kandidato66523Anketa.html,70
Žirmūnų,Senamiesčio,Liudvikas JAKIMAVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69848/Kandidato69848Anketa.html,64
Žirmūnų,Senamiesčio,Arminas MOCKEVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68760/Kandidato68760Anketa.html,58
Žirmūnų,Senamiesčio,Julius PANKA,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68298/Kandidato68298Anketa.html,29
Žirmūnų,Senamiesčio,Aušra ABRAMAVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67675/Kandidato67675Anketa.html,18
Žirmūnų,Senamiesčio,Raimondas BENUŠIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68872/Kandidato68872Anketa.html,10
Žirmūnų,Senamiesčio,Remigijus SABALIAUSKAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67771/Kandidato67771Anketa.html,20
Žirmūnų,Senamiesčio,Rimantas JUREVIČIUS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69930/Kandidato69930Anketa.html,4
Naujosios Vilnios,Senamiesčio,Tadeuš ANDŽEJEVSKI,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas68487/Kandidato68487Anketa.html,162
Naujosios Vilnios,Senamiesčio,Sergej URSUL,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67931/Kandidato67931Anketa.html,198
Naujosios Vilnios,Senamiesčio,Algirdas PALECKIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69094/Kandidato69094Anketa.html,183
Naujosios Vilnios,Senamiesčio,Artūras MELIANAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas69727/Kandidato69727Anketa.html,210
Naujosios Vilnios,Senamiesčio,Emanuelis ZINGERIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67307/Kandidato67307Anketa.html,140
Naujosios Vilnios,Senamiesčio,Tatjana RINKEVIČIENĖ,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66857/Kandidato66857Anketa.html,104
Naujosios Vilnios,Senamiesčio,Šarūnas SKUČAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas67171/Kandidato67171Anketa.html,62
Naujosios Vilnios,Senamiesčio,Bronius CICĖNAS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66391/Kandidato66391Anketa.html,73
Naujosios Vilnios,Senamiesčio,Rolandas BORAVSKIS,http://www.vrk.lt/statiniai/puslapiai/rinkimai/416_lt/Kandidatai/Kandidatas66674/Kandidato66674Anketa.html,72
