1. Akmenės rajono	0		Vitalijus MITROFANOVAS	Lietuvos socialdemokratų partija	4103	4740	637		Apolinaras NICIUS	Lietuvos Respublikos liberalų sąjūdis	3053	4092	1039
3. Alytaus rajono	0		Algirdas VRUBLIAUSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	5837	6355	518		Aurimas TRUNCĖ	Darbo partija	4465	5715	1250
4. Anykščių rajono	0		Kęstutis TUBIS	Lietuvos Respublikos liberalų sąjūdis	2965	4435	1470		Sigutis OBELEVIČIUS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	2858	3987	1129
6. Biržų rajono	0		Valdemaras VALKIŪNAS	Respublikonų partija	4313	5542	1229		Irutė VARZIENĖ	Tėvynės sąjunga - Lietuvos krikščionys demokratai	3139	4883	1744
8. Elektrėnų	0		Kęstutis VAITUKAITIS	Lietuvos Respublikos liberalų sąjūdis	4047	4219	172		Arvydas VYŠNIAUSKAS	Lietuvos socialdemokratų partija	2033	2204	171
11. Joniškio rajono	1		Gediminas ČEPULIS	Lietuvos Respublikos liberalų sąjūdis	3328	3593	265		Liudas JONAITIS	Lietuvos socialdemokratų partija	3540	3418	-122
12. Jurbarko rajono	1		Skirmantas MOCKEVIČIUS	Išsikėlė pats	3067	5340	2273		Ričardas JUŠKA	Lietuvos Respublikos liberalų sąjūdis	3301	4470	1169
13. Kaišiadorių rajono	1		Vytenis TOMKUS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	2491	4962	2471		Romualdas URMILEVIČIUS	Lietuvos Respublikos liberalų sąjūdis	4375	4675	300
14. Kalvarijos	1		Vincas PLIKAITIS	Partija Tvarka ir teisingumas	1187	2115	928		Valdas ALEKNAVIČIUS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	1477	2000	523
15. Kauno miesto	0		Visvaldas MATIJOŠAITIS	Visuomeninis rinkimų komitetas „Vieningas Kaunas“	44489	67051	22562		Andrius KUPČINSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	29679	38596	8917
17. Kazlų Rūdos	1		Vytautas KANEVIČIUS	Lietuvos laisvės sąjunga (liberalai)	1310	2260	950		Giedrius BIELSKUS	Lietuvos socialdemokratų partija	1404	1725	321
18. Kelmės rajono	0		Vaclovas ANDRULIS	Lietuvos socialdemokratų partija	4606	5439	833		Juozas RIMKUS	Lietuvos valstiečių ir žaliųjų sąjunga	3509	4865	1356
19. Kėdainių rajono	1		Saulius GRINKEVIČIUS	Lietuvos laisvės sąjunga (liberalai)	5783	10014	4231		Nijolė NAUJOKIENĖ	Darbo partija	10274	8492	-1782
20. Klaipėdos miesto	0		Vytautas GRUBLIAUSKAS	Lietuvos Respublikos liberalų sąjūdis	20943	26289	5346		Agnė BILOTAITĖ	Tėvynės sąjunga - Lietuvos krikščionys demokratai	5860	8175	2315
21. Klaipėdos rajono	0		Vaclovas DAČKAUSKAS	Lietuvos socialdemokratų partija	3841	5471	1630		Audronė BALNIONIENĖ	Lietuvos Respublikos liberalų sąjūdis	2980	5414	2434
22. Kretingos rajono	0		Juozas MAŽEIKA	Tėvynės sąjunga - Lietuvos krikščionys demokratai	4782	6131	1349		Virginijus DOMARKAS	Lietuvos socialdemokratų partija	3393	4184	791
23. Kupiškio rajono	0		Dainius BARDAUSKAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	3562	4757	1195		Jonas JARUTIS	Lietuvos valstiečių ir žaliųjų sąjunga	1651	1870	219
26. Mažeikių rajono	0		Antanas TENYS	Lietuvos socialdemokratų partija	9265	10254	989		Lina RIMKIENĖ	Tėvynės sąjunga - Lietuvos krikščionys demokratai	2615	3020	405
30. Pakruojo rajono	1		Saulius GEGIECKAS	Lietuvos laisvės sąjunga (liberalai)	2047	2964	917		Asta JASIŪNIENĖ	Lietuvos socialdemokratų partija	2559	2303	-256
32. Panevėžio miesto	0		Rytis Mykolas RAČKAUSKAS	Visuomeninis rinkimų komitetas „Povilas Urbšys už sąrašą KARTU“	7059	17290	10231		Maurikijus GRĖBLIŪNAS	Tėvynės sąjunga - Lietuvos krikščionys demokratai	4997	7588	2591
